,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-12-11,5660.0,211.0,25.928876816029213,0.9666065385480855,2020-12-11
2020-12-12,5331.0,254.0,24.421703587676983,1.163592705171629,2020-12-12
2020-12-13,4032.0,223.0,18.47088892618901,1.0215794222569814,2020-12-13
2020-12-14,6430.0,244.0,29.456303520683363,1.1177819687475492,2020-12-14
2020-12-15,6274.0,246.0,28.741656032467716,1.126944116032365,2020-12-15
2020-12-16,5256.0,255.0,24.078123064496385,1.168173778814037,2020-12-16
2020-12-17,4984.0,267.0,22.832071033761412,1.2231466625229328,2020-12-17
2020-12-18,5891.0,243.0,26.98710482742546,1.113200895105141,2020-12-18
2020-12-19,4541.0,283.0,20.802655410174676,1.2964438408014607,2020-12-19
2020-12-20,4979.0,275.0,22.809165665549372,1.2597952516621969,2020-12-20
2020-12-21,5303.0,279.0,24.29343352568956,1.2781195462318287,2020-12-21
2020-12-22,4754.0,286.0,21.778424096007576,1.3101870617286846,2020-12-22
2020-12-23,4608.0,291.0,21.10958734421601,1.3330924299407245,2020-12-23
2020-12-24,4939.0,278.0,22.625922719853055,1.2735384725894208,2020-12-24
2020-12-25,4457.0,275.0,20.417845224212403,1.2597952516621969,2020-12-25
2020-12-26,4634.0,328.0,21.228695258918616,1.5025921547098202,2020-12-26
2020-12-27,4572.0,327.0,20.944668693089323,1.498011081067412,2020-12-27
2020-12-28,6440.0,322.0,29.502114257107444,1.4751057128553722,2020-12-28
2020-12-29,4739.0,333.0,21.709707991371456,1.5254975229218601,2020-12-29
2020-12-30,4960.0,339.0,22.72212526634362,1.552983964776308,2020-12-30
2020-12-31,5591.0,294.0,25.612782734703064,1.3468356508679484,2020-12-31
2021-01-01,6511.0,324.0,29.82737048571841,1.4842678601401882,2021-01-01
2021-01-02,5401.0,339.0,24.742378742645545,1.552983964776308,2021-01-02
2021-01-03,5830.0,366.0,26.70765933523857,1.6766729531213236,2021-01-03
2021-01-04,8604.0,386.0,39.41555761927833,1.7682944259694835,2021-01-04
