,Casos,Defunciones,Casospor100k,Defpor100k,FECHAS
2020-11-10,294.0,28.0,20.498046759251835,1.9521949294525558,2020-11-10
2020-11-11,229.0,20.0,15.966165673022688,1.3944249496089685,2020-11-11
2020-11-12,211.0,22.0,14.711183218374616,1.5338674445698652,2020-11-12
2020-11-13,181.0,30.0,12.619545793961164,2.091637424413453,2020-11-13
2020-11-14,147.0,31.0,10.249023379625918,2.161358671893901,2020-11-14
2020-11-15,188.0,23.0,13.107594526324302,1.6035886920503137,2020-11-15
2020-11-16,247.0,22.0,17.22114812767076,1.5338674445698652,2020-11-16
2020-11-17,190.0,27.0,13.2470370212852,1.8824736819721073,2020-11-17
2020-11-18,186.0,20.0,12.968152031363406,1.3944249496089685,2020-11-18
2020-11-19,155.0,22.0,10.806793359469506,1.5338674445698652,2020-11-19
2020-11-20,264.0,31.0,18.406409334838383,2.161358671893901,2020-11-20
2020-11-21,128.0,30.0,8.924319677497397,2.091637424413453,2020-11-21
2020-11-22,180.0,29.0,12.549824546480716,2.0219161769330043,2020-11-22
2020-11-23,186.0,25.0,12.968152031363406,1.7430311870112105,2020-11-23
2020-11-24,154.0,29.0,10.737072111989056,2.0219161769330043,2020-11-24
2020-11-25,185.0,18.0,12.898430783882958,1.2549824546480715,2020-11-25
2020-11-26,164.0,28.0,11.43428458679354,1.9521949294525558,2020-11-26
2020-11-27,151.0,27.0,10.527908369547712,1.8824736819721073,2020-11-27
2020-11-28,134.0,24.0,9.342647162380088,1.673309939530762,2020-11-28
2020-11-29,118.0,34.0,8.227107202692913,2.3705224143352464,2020-11-29
2020-11-30,159.0,23.0,11.085678349391298,1.6035886920503137,2020-11-30
2020-12-01,183.0,21.0,12.75898828892206,1.4641461970894167,2020-12-01
2020-12-02,118.0,21.0,8.227107202692913,1.4641461970894167,2020-12-02
2020-12-03,125.0,23.0,8.715155935056053,1.6035886920503137,2020-12-03
2020-12-04,105.0,20.0,7.320730985447084,1.3944249496089685,2020-12-04
2020-12-05,70.0,13.0,4.88048732363139,0.9063762172458294,2020-12-05
2020-12-06,67.0,25.0,4.671323581190044,1.7430311870112105,2020-12-06
2020-12-07,116.0,21.0,8.087664707732017,1.4641461970894167,2020-12-07
2020-12-08,99.0,17.0,6.902403500564393,1.1852612071676232,2020-12-08
2020-12-09,111.0,15.0,7.739058470329774,1.0458187122067264,2020-12-09
2020-12-10,144.0,16.0,10.039859637184572,1.1155399596871747,2020-12-10
2020-12-11,69.0,18.0,4.810766076150941,1.2549824546480715,2020-12-11
2020-12-12,88.0,18.0,6.135469778279461,1.2549824546480715,2020-12-12
2020-12-13,70.0,12.0,4.88048732363139,0.836654969765381,2020-12-13
2020-12-14,88.0,15.0,6.135469778279461,1.0458187122067264,2020-12-14
2020-12-15,105.0,7.0,7.320730985447084,0.48804873236313895,2020-12-15
2020-12-16,95.0,7.0,6.6235185106426,0.48804873236313895,2020-12-16
2020-12-17,75.0,21.0,5.229093561033632,1.4641461970894167,2020-12-17
2020-12-18,74.0,12.0,5.159372313553183,0.836654969765381,2020-12-18
2020-12-19,50.0,7.0,3.486062374022421,0.48804873236313895,2020-12-19
2020-12-20,79.0,8.0,5.507978550955425,0.5577699798435873,2020-12-20
2020-12-21,65.0,7.0,4.531881086229148,0.48804873236313895,2020-12-21
2020-12-22,53.0,13.0,3.695226116463766,0.9063762172458294,2020-12-22
2020-12-23,54.0,9.0,3.7649473639442146,0.6274912273240357,2020-12-23
2020-12-24,82.0,8.0,5.71714229339677,0.5577699798435873,2020-12-24
2020-12-25,73.0,12.0,5.089651066072735,0.836654969765381,2020-12-25
2020-12-26,68.0,6.0,4.741044828670493,0.4183274848826905,2020-12-26
2020-12-27,58.0,8.0,4.043832353866009,0.5577699798435873,2020-12-27
2020-12-28,106.0,7.0,7.390452232927532,0.48804873236313895,2020-12-28
2020-12-29,75.0,6.0,5.229093561033632,0.4183274848826905,2020-12-29
2020-12-30,89.0,8.0,6.205191025759909,0.5577699798435873,2020-12-30
2020-12-31,68.0,5.0,4.741044828670493,0.3486062374022421,2020-12-31
2021-01-01,95.0,12.0,6.6235185106426,0.836654969765381,2021-01-01
2021-01-02,73.0,13.0,5.089651066072735,0.9063762172458294,2021-01-02
2021-01-03,76.0,6.0,5.29881480851408,0.4183274848826905,2021-01-03
2021-01-04,103.0,8.0,7.181288490486187,0.5577699798435873,2021-01-04
2021-01-05,99.0,7.0,6.902403500564393,0.48804873236313895,2021-01-05
2021-01-06,78.0,5.0,5.438257303474977,0.3486062374022421,2021-01-06
2021-01-07,61.0,5.0,4.252996096307354,0.3486062374022421,2021-01-07
2021-01-08,58.0,8.0,4.043832353866009,0.5577699798435873,2021-01-08
2021-01-09,65.0,8.0,4.531881086229148,0.5577699798435873,2021-01-09
2021-01-10,75.0,9.0,5.229093561033632,0.6274912273240357,2021-01-10
2021-01-11,65.0,8.0,4.531881086229148,0.5577699798435873,2021-01-11
2021-01-12,79.0,7.0,5.507978550955425,0.48804873236313895,2021-01-12
2021-01-13,53.0,12.0,3.695226116463766,0.836654969765381,2021-01-13
2021-01-14,63.0,16.0,4.392438591268251,1.1155399596871747,2021-01-14
2021-01-15,72.0,7.0,5.019929818592286,0.48804873236313895,2021-01-15
2021-01-16,55.0,5.0,3.834668611424663,0.3486062374022421,2021-01-16
2021-01-17,63.0,10.0,4.392438591268251,0.6972124748044842,2021-01-17
2021-01-18,72.0,13.0,5.019929818592286,0.9063762172458294,2021-01-18
2021-01-19,51.0,14.0,3.5557836215028695,0.9760974647262779,2021-01-19
2021-01-20,69.0,8.0,4.810766076150941,0.5577699798435873,2021-01-20
2021-01-21,65.0,4.0,4.531881086229148,0.27888498992179367,2021-01-21
2021-01-22,53.0,7.0,3.695226116463766,0.48804873236313895,2021-01-22
2021-01-23,41.0,6.0,2.858571146698385,0.4183274848826905,2021-01-23
2021-01-24,38.0,8.0,2.64940740425704,0.5577699798435873,2021-01-24
2021-01-25,68.0,10.0,4.741044828670493,0.6972124748044842,2021-01-25
2021-01-26,42.0,12.0,2.9282923941788335,0.836654969765381,2021-01-26
2021-01-27,34.0,8.0,2.3705224143352464,0.5577699798435873,2021-01-27
2021-01-28,48.0,4.0,3.346619879061524,0.27888498992179367,2021-01-28
2021-01-29,41.0,7.0,2.858571146698385,0.48804873236313895,2021-01-29
2021-01-30,31.0,8.0,2.161358671893901,0.5577699798435873,2021-01-30
2021-01-31,52.0,4.0,3.6255048689833176,0.27888498992179367,2021-01-31
2021-02-01,79.0,9.0,5.507978550955425,0.6274912273240357,2021-02-01
2021-02-02,64.0,8.0,4.462159838748699,0.5577699798435873,2021-02-02
2021-02-03,42.0,3.0,2.9282923941788335,0.20916374244134525,2021-02-03
2021-02-04,33.0,6.0,2.300801166854798,0.4183274848826905,2021-02-04
2021-02-05,44.0,4.0,3.0677348891397305,0.27888498992179367,2021-02-05
